,x,z,spin_rate,release_velo,release_x,release_y,release_z,pfx_x,pfx_z,extension,ump,catcherid,ball_count,strike_count,baserunner_count,out_count,baserunner_on_first,baserunner_on_second,baserunner_on_third,pitch_type_CB,pitch_type_CH,pitch_type_CT,pitch_type_FF,pitch_type_SL
301,-9.699113472,21.99370569,2300.746489,90.79170746,-3.52,54.74,5.42,1.34,4.6,5.7620000000000005,57,1,2,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
302,13.83672122,37.61088308,2510.326808,95.06030791,-3.21,54.43,5.53,-8.06,8.57,6.071000000000001,50,6,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
303,-2.472358243,34.02989178,2452.965566,95.42872251,-3.54,54.77,5.38,-6.74,7.58,5.725,54,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
304,-12.54121585,22.18891292,2401.273891,94.49075797,-3.8,53.93,4.83,-8.87,7.04,6.5729999999999995,48,6,0,1,2,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
305,-5.410872009,19.45124677,2309.9176780000003,95.40813008,-3.55,54.78,5.16,-7.0,5.65,5.7170000000000005,33,6,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
306,18.50282704,2.387843005,1622.151112,84.48050389,-3.51,54.56,5.24,-9.9,1.46,5.936,53,1,1,2,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
307,14.13642479,28.62087637,2433.091415,86.62962396,-3.49,54.49,5.05,-0.45,2.57,6.013,9,6,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
308,11.20685468,38.4009259,2462.1719,94.13009717,-3.58,54.56,5.1,-7.15,6.4,5.941,46,1,1,2,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
309,6.886579002,21.44511247,1369.412337,83.44964112,-3.41,53.98,5.04,-11.74,2.12,6.518,9,6,1,1,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
310,-9.179297863,18.2287829,2769.618466,76.41954098,-3.33,54.9,5.41,6.84,-3.32,5.596,6,1,2,2,1,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
311,-10.34668568,44.36212516,2481.914161,95.28948931,-3.5,54.43,5.06,-5.91,7.86,6.065,14,1,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
312,9.600739312,15.71973255,2427.3035670000004,93.45627792,-3.53,54.13,4.86,-9.9,8.33,6.372999999999999,53,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
313,9.541630225,35.32563703,2456.400885,94.40083566,-3.54,54.75,5.05,-8.69,7.2,5.745,3,6,0,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
314,16.36768518,-7.077833227999999,2695.678893,78.53773979,-3.29,55.09,5.48,4.94,-3.74,5.4110000000000005,13,1,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
315,11.57074489,19.581748899999997,2499.564966,94.69980869,-3.57,54.52,5.06,-8.36,8.21,5.981,49,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
316,14.13617031,31.9812292,2505.7948899999997,96.50041201,-3.47,53.97,5.16,-5.88,7.05,6.534,4,6,1,2,2,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
317,-15.2728109,42.94674025,2603.800766,96.0402833,-3.52,54.43,5.22,-8.19,7.85,6.0729999999999995,6,1,1,2,3,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
318,3.301205588,35.09083368,2754.645707,80.97146681,-3.27,54.5,5.43,4.83,-2.41,6.004,50,6,1,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
319,-19.60924922,31.78982216,2555.414066,93.44935905,-3.54,54.7,5.12,-9.52,9.09,5.803999999999999,7,6,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
320,3.862879907,19.57498535,2548.496021,95.32380131,-3.56,54.37,5.14,-7.52,7.71,6.129,32,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
321,20.64003783,25.67004575,2574.1819600000003,95.44812085,-3.7,54.7,5.21,-9.19,7.03,5.795,46,1,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
322,10.18649188,51.89749459,2563.660984,96.32755492,-3.23,54.5,5.42,-6.52,8.74,6.002999999999999,28,6,0,2,2,2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
323,9.923302148,21.39800686,2447.141447,94.51993378,-3.62,54.48,5.09,-4.76,9.61,6.023,16,1,0,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
324,-15.7912644,26.62963539,1451.843326,82.9111183,-3.53,54.53,5.42,-8.3,0.42,5.974,39,6,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
325,-0.241145065,33.32187863,2309.250136,85.41738595,-3.71,55.0,5.16,1.64,-0.95,5.497999999999999,57,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
326,9.624097166,29.48582792,2500.91395,95.18099923,-3.6,54.4,5.14,-8.15,8.24,6.104,46,1,0,1,2,2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
327,13.18775677,24.06083712,2361.356793,94.14000246,-3.47,54.46,5.39,-7.34,8.18,6.042000000000001,39,6,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
328,17.80837035,20.1259795,2304.0625219999997,85.70820852,-3.58,54.58,5.19,1.66,1.51,5.917000000000001,23,1,0,0,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
329,7.0062006,14.87962567,1498.7810060000002,84.92919096,-3.63,54.3,5.03,-8.56,2.73,6.1979999999999995,48,6,1,2,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
330,3.0847702669999997,52.95480655,2401.5877649999998,95.62112178,-3.41,54.09,5.23,-7.06,6.29,6.409,40,1,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
331,13.76265258,23.01682365,2484.311423,95.17896244,-3.27,54.56,5.34,-6.52,9.25,5.938,42,1,2,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
332,5.183977688,18.10569415,2344.729406,94.89846842,-3.41,54.47,5.31,-8.12,8.4,6.032,39,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
333,6.39800737,39.45362484,2240.670632,86.10232192,-3.46,54.68,5.4,1.65,2.3,5.824,2,1,0,0,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
334,10.84985767,23.22928407,2456.2988370000003,95.8413995,-3.65,54.54,5.04,-9.91,8.59,5.956,46,1,1,2,2,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
335,21.78991527,11.78589844,2422.118408,84.9408667,-3.55,54.49,5.17,-0.17,1.2,6.0089999999999995,33,1,0,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
336,-16.59654276,55.49928587,2532.341863,90.16161177,-3.6,54.78,5.27,-3.81,2.93,5.715,48,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
337,2.291805465,16.6204625,2502.618473,98.74138391,-3.39,54.16,5.16,-7.16,8.84,6.34,8,1,2,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
338,21.29695052,3.1940228630000003,1542.31604,86.7130806,-3.34,54.84,5.26,-9.4,2.41,5.662999999999999,20,6,0,1,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
339,12.49141288,36.93562287,2532.423616,91.6387547,-3.54,54.58,5.38,-4.79,6.05,5.916,13,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
340,15.22916205,4.2718020910000005,2406.114871,90.28087156,-3.46,54.63,5.35,0.52,5.09,5.874,57,1,1,2,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
341,10.19000958,1.4388332069999998,2402.9632739999997,85.52801312,-3.39,54.9,5.46,0.69,2.74,5.6,2,1,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
342,10.39394066,36.00129076,2490.870606,95.96121813,-3.36,54.57,5.34,-8.05,6.87,5.934,6,1,0,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
