,x,z,spin_rate,release_velo,release_x,release_y,release_z,pfx_x,pfx_z,extension,ump,catcherid,ball_count,strike_count,baserunner_count,out_count,baserunner_on_first,baserunner_on_second,baserunner_on_third,pitch_type_CB,pitch_type_CH,pitch_type_FF,pitch_type_FT,pitch_type_SL
0,-12.80372625,21.52828004,2483.736917,94.28084756,-2.09,53.93,5.99,-8.59,10.6,6.572,15,3,2,1,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,12.16954488,23.59034993,2574.837038,98.46216844,-1.95,53.91,5.65,-6.77,10.44,6.593999999999999,25,7,2,2,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,3.0134070239999997,42.98198363,2438.746496,93.78118281,-2.02,54.16,6.06,-6.16,10.75,6.336,15,3,0,1,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,8.133483421000001,30.61392016,2431.272666,97.70129257,-2.06,54.36,5.94,-8.02,11.33,6.136,53,7,1,2,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,9.92127109,17.54187843,2511.799062,96.29008318,-1.65,54.04,5.63,-7.04,10.58,6.46,36,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,-12.02351171,50.01443508,2459.883616,97.14019463,-2.06,54.32,6.1,-4.58,12.14,6.184,52,3,2,2,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,-3.0015199989999997,47.48456628,2650.043372,86.18090756,-2.14,54.74,6.02,2.13,-0.01,5.7589999999999995,42,9,1,1,2,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7,7.320916147,40.82181913,2663.824333,96.87026518,-1.83,54.15,5.75,-6.99,10.95,6.354,1,2,1,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,-6.960514663,30.5514596,2676.206647,80.08833213,-2.21,55.0,5.73,4.86,-7.94,5.497999999999999,20,3,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,-4.330565272,44.45937073,2522.5980600000003,85.84919872,-2.03,54.47,5.77,1.73,-1.68,6.0329999999999995,1,2,0,0,1,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,-7.8465701160000005,32.43448799,2522.356814,86.60049797,-2.03,54.9,5.69,1.67,0.65,5.604,36,2,1,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
11,16.37926201,34.62192126,2544.511446,97.39228472,-1.74,54.26,5.96,-5.77,11.52,6.242999999999999,53,7,1,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12,-4.559851715,34.72774262,2569.880558,95.211037,-2.13,54.32,5.87,-6.87,11.1,6.176,38,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13,-9.563729808,38.97642242,2553.66996,87.70631264,-2.15,54.76,5.94,2.52,2.86,5.739,24,3,2,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,-16.47503443,39.59909985,2421.748297,95.84162324,-2.05,54.06,5.93,-8.03,9.53,6.436,53,7,1,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15,20.47323959,4.814687639,2635.782961,88.76883868,-1.74,54.63,5.82,2.58,0.55,5.871,52,3,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,-14.08893007,46.51452607,2587.006882,96.12017034,-2.08,54.02,5.62,-5.97,9.21,6.478,25,7,2,1,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
17,-8.618609483,47.83535162,2554.654375,97.60018504,-2.1,54.49,5.82,-6.94,10.72,6.0120000000000005,1,2,3,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18,3.00968202,15.38055149,2607.0917170000002,95.797888,-2.12,53.97,5.91,-8.41,10.53,6.53,41,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
19,3.288994267,33.76675082,2825.910297,82.11985932,-2.17,54.84,6.03,6.74,-4.95,5.662999999999999,24,3,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20,-0.506365692,47.71155495,2535.16479,98.67846926,-2.04,54.2,5.7,-7.38,9.4,6.297999999999999,49,2,0,1,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21,13.04460616,39.96147403,2495.4977129999997,95.20875878,-1.73,54.04,6.03,-7.73,10.05,6.462999999999999,15,3,0,1,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22,-11.47010634,34.22260347,2679.9759059999997,96.72755009,-2.34,54.45,5.77,-10.79,10.36,6.047000000000001,14,7,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23,-30.76955494,58.69319433,2532.9180260000003,96.13165869,-2.15,54.39,5.86,-5.94,10.34,6.114,22,3,0,1,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
24,5.591838052999999,38.54250507,2435.9983079999997,94.82941856,-1.79,54.36,6.03,-8.11,10.54,6.143,41,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
25,25.62117625,0.096025475,2953.65677,85.60036069,-1.78,54.46,5.84,5.14,-7.76,6.042999999999999,34,2,1,2,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26,1.298136956,37.882593,2926.169157,84.53871176,-1.92,54.64,5.81,4.24,-7.18,5.861000000000001,25,3,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,2.509562204,22.03427052,1651.556832,88.30109312,-2.07,54.1,5.74,-10.0,4.56,6.403,53,7,2,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
28,4.36735755,38.16990744,2685.44112,91.2214479,-2.12,54.6,6.07,2.69,2.06,5.897,56,2,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,-8.975115505,16.55871104,2086.695387,88.89176205,-2.1,54.14,5.43,-8.8,8.2,6.365,43,2,1,2,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
30,-3.563395505,24.02156243,2638.183767,97.43084981,-1.9,54.09,5.95,-6.89,10.95,6.4110000000000005,10,2,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
31,20.49530915,-0.14468271300000002,2979.659193,86.25012777,-2.02,54.8,5.74,5.39,-7.36,5.702000000000001,3,2,1,2,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
32,8.423478033,39.33423438,2449.6551059999997,89.39922665,-2.08,54.14,5.86,1.15,3.01,6.3629999999999995,3,2,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33,-21.13255796,29.90423707,2106.256795,88.00092631,-2.11,53.75,5.42,-8.9,6.16,6.752000000000001,49,2,2,1,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34,0.9029370859999999,10.07984445,1808.4630379999999,88.6579255,-2.24,54.29,5.69,-8.28,8.98,6.209,17,7,0,1,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
35,-13.13735339,51.59930855,2611.371815,97.63841140000001,-2.14,54.33,5.78,-7.47,9.8,6.175,43,2,1,2,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
36,12.55131467,26.12549161,2559.814668,94.90137220000001,-1.87,54.27,5.79,-7.09,11.2,6.227,47,9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
37,-11.57957691,15.33423648,1736.366691,88.3534494,-2.02,53.98,5.59,-6.97,7.2,6.519,38,2,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
38,7.329996435,27.66084248,2602.658182,97.6116269,-2.16,54.11,5.93,-10.49,10.25,6.392,27,3,0,0,2,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
