,x,z,spin_rate,release_velo,release_x,release_y,release_z,pfx_x,pfx_z,extension,ump,catcherid,ball_count,strike_count,baserunner_count,out_count,baserunner_on_first,baserunner_on_second,baserunner_on_third,pitch_type_CB,pitch_type_CH,pitch_type_FF,pitch_type_FT,pitch_type_SL
555,6.54998227,24.60044189,1753.1135120000001,92.39087987,-0.96,53.67,5.4,-9.22,1.3,6.8260000000000005,43,10,1,2,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
556,18.60007696,17.75919946,2544.0328329999998,92.06102446,-1.38,53.9,5.67,1.36,4.1,6.601,20,4,1,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
557,-8.377200781,21.74332637,2339.727187,98.44898309,-1.23,53.45,5.49,-4.07,9.18,7.053999999999999,11,4,0,0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
558,-11.91514043,30.40925321,2309.657615,92.52104544,-1.21,53.7,5.64,1.75,4.49,6.797000000000001,8,10,1,2,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
559,-11.24335815,35.32673401,1560.797135,90.05828137,-0.68,53.71,5.67,-7.16,1.18,6.787000000000001,41,4,2,1,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
560,2.169526287,12.837321099999999,2217.223946,96.69135242,-0.96,53.03,5.59,-7.07,8.97,7.471,25,4,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
561,0.17992214199999998,28.5733343,2251.439481,97.35117246,-1.02,53.71,5.68,-5.01,10.19,6.7860000000000005,20,4,0,0,2,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
562,2.438035123,15.50408358,2390.9727550000002,97.96102916,-0.87,53.72,5.59,-4.51,8.85,6.778,55,4,0,0,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
563,13.57381458,46.87095506,2392.646341,91.09144787,-1.15,54.08,5.75,0.75,3.46,6.416,11,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
564,21.44177579,30.03859042,2456.811957,95.23143533,-1.46,53.62,5.66,-1.73,10.66,6.88,50,10,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
565,-1.9105967990000001,51.12127764,2345.8465309999997,95.70095854,-1.41,53.55,5.38,-3.02,8.83,6.952999999999999,6,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
566,-12.01137528,34.32004932,2366.973582,96.29086735,-1.6,53.71,5.68,-3.27,10.44,6.794,50,10,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
567,-9.254536811,40.082044599999996,2416.6932100000004,97.31277125,-0.96,53.95,5.64,-3.12,9.82,6.547999999999999,41,4,1,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
568,-9.986632925,37.88583333,2520.134602,97.13932744,-1.61,53.87,5.53,-3.55,10.48,6.627000000000001,17,10,1,1,2,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
569,-13.08298642,32.24206551,2161.550478,96.29980272,-1.35,53.43,5.56,-2.63,8.35,7.069,45,4,0,1,2,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
570,-16.869619399999998,38.12339284,2315.981066,96.79864133,-1.56,53.82,5.68,-3.31,10.31,6.678999999999999,28,10,0,0,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
571,9.445145333,19.99416867,2484.871537,94.87991455,-1.45,53.77,5.65,0.04,5.3,6.732,28,10,1,1,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
572,-10.63342339,46.89944347,2518.74369,97.68069027,-0.96,53.77,5.65,-2.7,9.29,6.732,23,4,1,2,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
573,-10.49947864,45.59817246,2511.8704510000002,98.27000718,-1.06,53.87,5.6,-4.8,8.96,6.627999999999999,20,4,0,2,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
574,10.3789877,46.76416675,2457.510464,96.72678594,-1.38,53.66,5.59,-4.56,10.75,6.836,12,4,1,1,1,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
575,11.71055344,34.11666974,2538.200136,92.86831428,-1.03,53.81,5.72,1.1,6.1,6.687,20,4,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
